year,Christian,No religion,Not answered,Other religions
2001,71.7468079686458,14.813534225623885,7.706559490190397,5.733098315539922
2011,59.48506871668779,25.674184577809267,7.167089111742872,7.673657593760064
2021,46.53296819077593,37.75566305434985,5.917041687994982,9.794327066879234
2022,45.20093759605411,39.017353699751034,5.813386014130072,9.96832269006478
2023,43.70256619957586,40.421779443743624,5.709562197307936,10.166092159372582
2024,42.25419421022305,41.7739668713908,5.609422140546711,10.362416777839458
2025,40.83380164837176,43.092379528303965,5.512775089258605,10.561043734065665
2026,39.44194698447463,44.37692480238186,5.418974029804188,10.762154183339314
2027,38.18406636324811,45.511141038169036,5.318084854265166,10.986707744317682
2028,36.948470500593814,46.618503314282236,5.221421843524312,11.211604341599639
2029,35.724158194328716,47.70457042003426,5.129333956111902,11.441937429525119
2030,34.513211589348636,48.76639732739913,5.041557071964263,11.678834011287954
2031,33.317730686678516,49.79971998170142,4.958847737025138,11.92370159459492
